中文标题,英文标题,订阅地址,分类,推荐
CNBC 财经,CNBC Finance,https://search.cnbc.com/rs/search/combinedcms/view.xml?partnerId=wrss01&id=10000664,金融财经 / Finance,推荐
雅虎财经,Yahoo Finance,https://finance.yahoo.com/news/rssindex,金融财经 / Finance,推荐
FT 中文网,FT Chinese,https://www.ftchinese.com/rss/news,金融财经 / Finance,推荐
界面新闻·金融,Jiemian Finance,https://a.jiemian.com/index.php?m=article&a=rss&cid=4,金融财经 / Finance,推荐
知乎日报,Zhihu Daily,https://rsshub.app/zhihu/daily,科技资讯 / Tech News,推荐
CoinDesk,CoinDesk,https://www.coindesk.com/arc/outboundfeeds/rss/,金融财经 / Finance,
英为财情新闻,Investing.com News,https://www.investing.com/rss/news.rss,金融财经 / Finance,
Quartz,Quartz,https://qz.com/feed,金融财经 / Finance,
经济学人,The Economist,https://www.economist.com/the-world-this-week/rss.xml,金融财经 / Finance,推荐
华尔街日报·市场,WSJ Markets,https://feeds.a.dj.com/rss/RSSMarketsMain.xml,金融财经 / Finance,
The Verge,The Verge,https://www.theverge.com/rss/index.xml,科技资讯 / Tech News,推荐
TechCrunch,TechCrunch,https://techcrunch.com/feed/,科技资讯 / Tech News,
连线,Wired,https://www.wired.com/feed/rss,科技资讯 / Tech News,
Ars Technica,Ars Technica,https://feeds.arstechnica.com/arstechnica/index,科技资讯 / Tech News,
The Next Web,The Next Web,https://thenextweb.com/feed,科技资讯 / Tech News,
Engadget 中国版,Engadget Chinese,https://chinese.engadget.com/rss.xml,科技资讯 / Tech News,
36氪,36Kr,https://36kr.com/feed,科技资讯 / Tech News,推荐
Solidot,Solidot,https://www.solidot.org/index.rss,科技资讯 / Tech News,
爱范儿,ifanr,https://www.ifanr.com/feed,科技资讯 / Tech News,
月光博客,Moonlight Blog,https://www.williamlong.info/rss.xml,科技资讯 / Tech News,
纽约时报,The New York Times,https://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml,国际新闻 / World News,
纽约时报中文网,The New York Times Chinese,https://cn.nytimes.com/rss/,国际新闻 / World News,推荐
BBC 新闻,BBC News,http://feeds.bbci.co.uk/news/rss.xml,国际新闻 / World News,推荐
NPR 新闻,NPR News,https://feeds.npr.org/1001/rss.xml,国际新闻 / World News,
全球新闻速递,World News - Breaking News,https://www.huffpost.com/section/world-news/feed,国际新闻 / World News,
GitHub 博客,GitHub Blog,https://github.blog/feed/,编程开发 / Programming,
Stack Overflow 博客,Stack Overflow Blog,https://stackoverflow.blog/feed/,编程开发 / Programming,
Real Python,Real Python,https://realpython.com/atom.xml,编程开发 / Programming,
Martin Fowler,Martin Fowler,https://martinfowler.com/feed.atom,编程开发 / Programming,
Netflix 技术博客,Netflix TechBlog,https://netflixtechblog.com/feed,编程开发 / Programming,
CSS-Tricks,CSS-Tricks,https://css-tricks.com/feed/,编程开发 / Programming,
Go 博客,Go Blog,https://go.dev/blog/feed.atom,编程开发 / Programming,
Rust 博客,Rust Blog,https://blog.rust-lang.org/feed.xml,编程开发 / Programming,
freeCodeCamp,freeCodeCamp,https://www.freecodecamp.org/news/rss/,编程开发 / Programming,
OpenAI 博客,OpenAI Blog,https://openai.com/blog/rss.xml,人工智能 / AI,
MIT 科技评论,MIT Technology Review,https://www.technologyreview.com/feed/,人工智能 / AI,
VentureBeat,VentureBeat,https://venturebeat.com/feed/,人工智能 / AI,
Hugging Face,Hugging Face,https://huggingface.co/blog/feed.xml,人工智能 / AI,
Google AI 博客,Google AI Blog,http://googleaiblog.blogspot.com/atom.xml,人工智能 / AI,
Smashing Magazine,Smashing Magazine,https://www.smashingmagazine.com/feed/,设计与产品 / Design & Product,
Sidebar,Sidebar.io,https://sidebar.io/feed.xml,设计与产品 / Design & Product,
A List Apart,A List Apart,https://alistapart.com/main/feed,设计与产品 / Design & Product,
尼尔森诺曼集团,Nielsen Norman Group,https://www.nngroup.com/feed/rss/,设计与产品 / Design & Product,
Muzli,Muzli,https://medium.com/feed/muzli-design-inspiration,设计与产品 / Design & Product,
Figma 博客,Figma Blog,https://www.figma.com/blog/feed/atom.xml,设计与产品 / Design & Product,
机核网,GCORES,https://www.gcores.com/rss,游戏娱乐 / Gaming & Entertainment,推荐
9to5Mac,9to5Mac,https://9to5mac.com/feed/,数码设备 / Gadgets,
